,pono,pono.level,vuosi,nimi,he_kika,ra_ke,ra_raky,ra_muut,ra_asrak,ra_asunn,ra_as_kpa,ra_pt_as,ra_kt_as,tp_tyopy,tp_alku_a,tp_jalo_bf,tp_palv_gu,tr_mtu,te_takk,te_as_valj,he_naiset,hr_hy_tul,hr_ke_tul,hr_ovy,hr_pi_tul,pt_0_14,pt_elakel,pt_opisk,pt_tyoll,pt_tyott,pt_tyovu,te_aik,te_eil_np,te_elak,te_laps,te_nuor,te_omis_as,te_vuok_as,tr_hy_tul,tr_ke_tul,tr_pi_tul,rakennukset_bin,hinta,naiset_bin,yliopistot,amk
0,00100,5,2018,Helsinki Keskusta - Etu-Töölö,40.0,0.0,630.0,322.0,308.0,11768.0,66.2,2.0,11766.0,46662.0,105.0,1837.0,44719.0,38139.0,1.8,38.6,9507.0,0.396083385975995,0.423752368919773,35951.5198357549,0.180164245104232,0.0992276695768972,0.184407880008955,0.0704051936422655,0.552440116409223,0.048354600402955,0.399205283187822,0.642003584943238,0.0913164708225453,0.232622983469428,0.130053774148576,0.199761003784107,0.464748058155746,0.496116311491735,0.416190189587722,0.409369044036513,0.174440766375765,0,6056,3,4,0
1,00120,5,2018,Punavuori,40.0,0.0,248.0,101.0,147.0,4421.0,69.2,7.0,4414.0,8515.0,9.0,198.0,8308.0,40165.0,1.8,39.3,3705.0,0.395741195741196,0.414578214578215,37919.97002457,0.18968058968059,0.113008824366638,0.177341303729007,0.0617705664674068,0.546114432109308,0.0498149729575861,0.404070594933106,0.627092454287922,0.0813803759979397,0.224568632500644,0.152974504249292,0.17383466391965,0.519701261910894,0.44012361576101,0.436429683445771,0.393357550596783,0.170212765957447,0,6492,1,0,0
2,00130,5,2018,Kaartinkaupunki,40.0,0.0,142.0,108.0,34.0,902.0,74.9,0.0,902.0,10927.0,12.0,269.0,10646.0,44641.0,1.9,43.2,783.0,0.441044776119403,0.373134328358209,53488.9619402985,0.185820895522388,0.110677083333333,0.1640625,0.072265625,0.561197916666667,0.0455729166666667,0.393229166666667,0.614914425427873,0.0794621026894866,0.231051344743276,0.157701711491443,0.161369193154034,0.515892420537897,0.438875305623472,0.491545893719807,0.347826086956522,0.160628019323671,0,7364,0,0,0
3,00300,5,2018,Pikku Huopalahti,40.0,0.0,225.0,61.0,164.0,3149.0,61.8,65.0,3084.0,2999.0,0.0,75.0,2924.0,34364.0,2.0,32.0,3181.0,0.276659528907923,0.562312633832976,26004.5895074946,0.161027837259101,0.168516305275738,0.199760969779751,0.0804165955267202,0.445449889021683,0.0693187638722896,0.485231347106027,0.525207182320442,0.0590469613259669,0.260359116022099,0.219613259668508,0.0735497237569061,0.335290055248619,0.648825966850829,0.256830601092896,0.573428961748634,0.16974043715847,0,5133,1,0,0
4,00140,5,2018,Kaivopuisto - Ullanlinna,41.0,0.0,249.0,77.0,172.0,5426.0,73.9,14.0,5412.0,2282.0,11.0,124.0,2146.0,41153.0,1.8,41.5,4276.0,0.441002949852507,0.37905604719764,54104.6404129794,0.179941002949853,0.11411027248305,0.191121913777664,0.0649865677369835,0.525905078674683,0.0489957784316234,0.425099142893693,0.606505534221821,0.0835780438220014,0.247345832392139,0.150440478879602,0.171222046532641,0.491077479105489,0.460582787440705,0.46188850967008,0.374288964732651,0.16382252559727,0,7002,1,0,0
5,00170,5,2018,Kruununhaka,40.0,0.0,265.0,131.0,134.0,4590.0,68.0,9.0,4581.0,8627.0,4.0,149.0,8474.0,40850.0,1.8,38.3,4007.0,0.423444601159693,0.402758188371729,40782.0966933083,0.173797210468579,0.117440129887701,0.173724800432959,0.0685969422270329,0.556893519144906,0.0419429035313219,0.401163577323772,0.605721393034826,0.0781094527363184,0.235820895522388,0.163432835820896,0.161194029850746,0.519900497512438,0.441791044776119,0.444251303700025,0.398311398063074,0.157437298236901,0,6575,1,1,0
6,22940,5,2018,Åva,47.0,47.0,62.0,16.0,46.0,51.0,104.0,51.0,0.0,452.84613025253043,16.708529445528644,97.71690965445988,393.4194696360923,42701.0,2.2,44.5,37.0,0.267605633802817,0.563380281690141,29811.9295774648,0.169014084507042,0.142857142857143,0.333333333333333,0.0357142857142857,0.476190476190476,0.0,0.523809523809524,0.414634146341463,0.0,0.463414634146341,0.146341463414634,0.024390243902439,0.804878048780488,0.0975609756097561,0.315789473684211,0.552631578947368,0.131578947368421,0,958,0,0,0
7,00150,5,2018,Eira - Hernesaari,39.0,2.0,371.0,106.0,265.0,6766.0,55.6,32.0,6734.0,5187.0,8.0,793.0,4386.0,33321.0,1.6,34.0,5119.0,0.377479438800194,0.446540880503145,38605.5492259313,0.175979680696662,0.0980750618346059,0.159587052371223,0.0606516829766642,0.56963114313367,0.0576406065168298,0.3727282503495,0.693428125541876,0.091728801803364,0.187272411999306,0.122073868562511,0.231836310039882,0.489335876538928,0.463846020461245,0.374074074074074,0.428747795414462,0.197178130511464,0,6776,1,0,0
8,00160,5,2018,Katajanokka,44.0,0.0,141.0,63.0,78.0,2670.0,76.6,2.0,2668.0,4283.0,7.0,448.0,3828.0,42674.0,2.0,40.4,2356.0,0.407041877834089,0.436383035476127,40166.4451853828,0.156575086689784,0.138926174496644,0.247651006711409,0.0624161073825503,0.461521252796421,0.0445190156599553,0.493959731543624,0.468611847922193,0.0623342175066313,0.347480106100796,0.186118479221928,0.0645446507515473,0.526083112290009,0.432802829354553,0.43908851884312,0.430762489044698,0.130148992112182,0,6029,0,0,0
9,10270,5,2018,Barösund,47.0,756.0,216.0,99.0,117.0,83.0,110.0,83.0,0.0,30.0,2.0,7.0,21.0,34399.0,2.2,50.2,55.0,0.220338983050847,0.525423728813559,22516.8559322034,0.254237288135593,0.127659574468085,0.312056737588652,0.0638297872340425,0.411347517730496,0.0283687943262411,0.560283687943262,0.387096774193548,0.0,0.435483870967742,0.193548387096774,0.032258064516129,0.887096774193548,0.0483870967741935,0.241935483870968,0.483870967741935,0.274193548387097,0,1121,0,0,0
